id_run,Agency1a,Allocentrism1a,Coalition1a,Ethos1a,Exchange1a,Intentionality1a,Logos1a,Might1a,Network1a,Pathos1a,SA1a,Team1a,Agency3a,Allocentrism3a,Coalition3a,Ethos3a,Exchange3a,Intentionality3a,Logos3a,Might3a,Network3a,Pathos3a,SA3a,Team3a,Agency3,Allocentrism3,Coalition3,Ethos3,Exchange3,Intentionality3,Logos3,Might3,Network3,Pathos3,SA3,Team3,Agency1,Allocentrism1,Coalition1,Ethos1,Exchange1,Intentionality1,Logos1,Might1,Network1,Pathos1,SA1,Team1
40,3.8,3.666667,3.8,3.75,3.2,3.2,4,2.166667,3.8,3.166667,3.666667,2.6,3.2,3.1875,3.0625,3.1875,2.6875,3.125,3.25,2.604167,3.270833,3,3.020833,3,44,57,70,80,45,20,38,38,56,69,38,72,89,90,96,96,87,66,93,29,88,73,92,34
41,2.6,3.5,3.333333,2.5,3,2.5,3.4,2.333333,3.333333,2.166667,3.333333,2.8,2.969231,3.102564,2.692308,2.826923,2.448718,3,3.215385,2.474359,3.076923,2.435897,2.98718,2.34375,14,43,14,36,8,8,34,17,36,2,32,6,13,80,85,34,71,6,50,39,64,5,75,47
42,3.4,3.333333,3.666667,3.5,2.666667,3.833333,3.4,3.333333,3.833333,3.833333,3.666667,3.6,3.318182,3.351852,3.185185,3.194444,2.703704,3.351852,3.333333,3.203704,3.37037,3.148148,3.314815,2.955555,63,81,85,81,48,59,52,97,71,84,90,67,69,66,93,92,39,93,50,92,89,95,92,94
43,2.8,3,2,2.5,2.833333,2.833333,2.6,2.333333,2.5,2.5,2.5,2.6,3.216667,3.486111,3.097222,2.979167,3.208333,3.333333,3.366667,2.708333,3.28169,3.041667,3.277778,3.133333,47,93,77,58,96,53,57,45,59,74,85,85,23,33,3,34,56,23,6,39,17,23,11,34
44,3,3.666667,2.5,3,3.5,3.166667,3,2,3.166667,2.5,2.333333,2.8,3.085714,3.333333,2.809524,2.607143,2.761905,3.333333,3.2,2.5,3.047619,2.571429,2.952381,2.714286,28,78,30,12,55,53,31,20,31,10,25,39,37,90,29,68,92,54,23,18,52,23,2,47
45,2.8,2,2.5,3.75,2.333333,3.5,4,2.666667,4,2.666667,3.166667,2.8,3.542857,2.642857,2.738095,3.607143,2.428571,3.476191,3.514286,3.285714,3.333333,2.714286,2.780488,2.657143,92,1,18,98,6,81,81,98,67,25,9,31,23,0,29,96,14,77,93,62,95,37,61,47
46,2.8,3.166667,2.333333,1.5,1.833333,3.333333,2.8,1.166667,1.333333,2.166667,1.833333,2.6,2.783333,3.111111,2.75,2.854167,2.638889,2.791667,2.916667,2.319444,3.028169,2.666667,2.722222,2.633333,5,43,19,41,35,2,8,6,27,20,6,30,23,50,18,0,1,67,14,0,0,5,0,34
47,3.2,3,3.166667,2.5,2.5,3.333333,3.8,3.666667,3.666667,2.833333,3.333333,2.8,3.040816,2.813559,2.933333,3.282051,2.45,3.5,3.54,2.95,3.15,2.966667,3.1,2.6,22,9,52,86,8,85,85,79,42,61,54,25,54,33,79,34,26,67,80,95,81,51,75,47
48,2.8,3.333333,2,2.75,2,3,3.2,1.5,3.666667,2.5,2.333333,3.2,3.435897,3.166667,3.191489,3.103448,3.021277,3.361702,3.282051,2.804348,3.326087,3.042553,3.170213,2.75,78,51,86,70,88,62,45,59,66,75,69,43,23,66,3,53,3,38,38,3,81,23,2,75
49,3.6,3,3,1.75,2.333333,3,2.8,2.666667,2,2.666667,3.5,2.2,3.514286,3.190476,2.880952,2.928571,2.571429,3.476191,3.514286,3,3.02439,2.976191,3.452381,2.6,90,58,42,52,24,81,81,85,26,65,97,25,81,33,65,3,14,38,14,62,2,37,86,10
50,3,3.5,2.333333,1.75,3.333333,2.5,3.6,2,2.6,3.666667,3.166667,3.2,2.542857,2.780488,2.5,2.5,2.452381,2.714286,2.942857,2.095238,2.452381,2.642857,2.785714,2.2,2,7,2,5,9,1,10,1,1,18,9,2,37,80,18,3,88,6,64,18,25,92,61,75
51,2.2,2.666667,2.333333,2.5,2.666667,2.833333,3.2,3,3.166667,2.833333,2.833333,2,3,2.861111,2.777778,3.125,2.361111,3,2.7,2.861111,3.194444,2.722222,2.527778,2.5,17,13,24,71,3,8,3,67,48,26,0,15,2,13,18,34,39,23,38,82,52,51,30,5
52,3.4,3.666667,2.833333,2.5,1.333333,3.166667,2.8,2.333333,3.5,2.666667,3.166667,2.4,,,,,,,,,,,,,,,,,,,,,,,,,69,90,51,34,0,54,14,39,72,37,61,22
53,3,3,2.333333,3,2.333333,3.5,3.4,3,1.833333,2.666667,3.166667,2,3.276923,3.179487,2.884615,2.711539,2.551282,3.525641,3.753846,3,2.705128,2.858974,3.294872,2.523077,56,54,44,25,21,90,99,85,6,45,88,16,37,33,18,68,14,77,50,82,2,37,61,5
54,3.2,3.666667,3.666667,2.5,3.333333,3.833333,3.4,2,3.833333,2.333333,3.5,3,3.175,3.3125,2.958333,2.6875,2.666667,3.1875,3.125,2.833333,3.1875,2.8125,3.104167,2.8,42,75,56,22,40,30,24,63,46,38,55,47,54,90,93,34,88,93,50,18,89,12,86,65
55,3.2,3,2,2.25,2.166667,2.666667,3.2,1.833333,2.5,2.666667,3,2.2,3.6,3.383333,3.084746,3.175,2.8,3.4,3.56,2.883333,3.216667,3.35,3.316667,2.836735,94,85,75,78,63,71,88,70,49,98,90,54,54,33,3,19,8,14,38,10,17,37,47,10
56,3.6,2.833333,3.333333,2.75,2.833333,3,2.4,2.833333,3.5,2.666667,2.833333,3.6,3.088889,2.962963,2.87037,2.916667,2.444444,3.296296,3.2,2.777778,3.037037,2.722222,2.981482,2.6,29,25,40,49,7,48,31,55,29,26,30,25,81,24,85,53,56,38,2,74,72,37,30,94
57,2,2.333333,2.333333,2.5,2.833333,2.333333,2.6,2.666667,2,2.333333,3,2.2,2.846154,2.958333,3.191489,2.6875,2.957447,3.125,3.075,2.770833,3.083333,2.75,3.1875,2.7,8,24,86,22,82,20,18,54,36,30,71,38,0,3,18,34,56,3,6,62,2,12,47,10
58,2.8,2.666667,2.666667,2.75,2.5,2.833333,2.4,2.5,3.333333,2.166667,2.5,3.2,3,2.875,2.680851,2.3125,2.8125,2.833333,2.625,2.333333,3.333333,2.375,2.604167,2.725,17,14,12,3,64,2,2,7,67,0,1,41,23,13,39,53,26,23,2,53,64,5,11,75
