id_run,Agency1a,Allocentrism1a,Coalition1a,Ethos1a,Exchange1a,Intentionality1a,Logos1a,Might1a,Network1a,Pathos1a,SA1a,Team1a,Agency3a,Allocentrism3a,Coalition3a,Ethos3a,Exchange3a,Intentionality3a,Logos3a,Might3a,Network3a,Pathos3a,SA3a,Team3a,Agency3,Allocentrism3,Coalition3,Ethos3,Exchange3,Intentionality3,Logos3,Might3,Network3,Pathos3,SA3,Team3,Agency1,Allocentrism1,Coalition1,Ethos1,Exchange1,Intentionality1,Logos1,Might1,Network1,Pathos1,SA1,Team1
39,2.8,3,3,2.25,2.833333,2.833333,2.4,1.833333,3.5,2.5,3,3.4,3.507692,3.5,3.337662,2.980392,2.987013,3.525641,3.484375,2.792208,3.782051,3.155844,3.434211,3.369231,90,94,96,55,88,90,79,54,100,83,96,96,23,32,66,20,61,22,4,10,78,20,50,86
40,3.8,3.666667,3.8,3.75,3.2,3.2,4,2.166667,3.8,3.166667,3.666667,2.6,3.2,3.1875,3.0625,3.1875,2.6875,3.125,3.25,2.604167,3.270833,3,3.020833,3,39,57,70,79,38,18,36,33,58,63,37,70,91,92,98,96,88,66,93,31,91,73,94,35
41,2.6,3.5,3.333333,2.5,3,2.5,3.4,2.333333,3.333333,2.166667,3.333333,2.8,2.969231,3.102564,2.692308,2.826923,2.448718,3,3.215385,2.474359,3.076923,2.435897,2.98718,2.34375,15,40,10,34,7,8,32,18,35,0,31,4,14,80,85,40,71,7,54,41,70,5,76,47
42,3.4,3.333333,3.666667,3.5,2.666667,3.833333,3.4,3.333333,3.833333,3.833333,3.666667,3.6,3.318182,3.351852,3.185185,3.194444,2.703704,3.351852,3.333333,3.203704,3.37037,3.148148,3.314815,2.955555,61,78,82,80,41,58,51,96,74,82,88,65,68,69,94,92,39,94,54,93,92,97,94,91
43,2.8,3,2,2.5,2.833333,2.833333,2.6,2.333333,2.5,2.5,2.5,2.6,3.216667,3.486111,3.097222,2.979167,3.208333,3.333333,3.366667,2.708333,3.28169,3.041667,3.277778,3.133333,43,93,75,55,97,54,58,46,61,72,81,84,23,32,4,40,61,22,9,41,19,20,9,35
44,3,3.666667,2.5,3,3.5,3.166667,3,2,3.166667,2.5,2.333333,2.8,3.085714,3.333333,2.809524,2.607143,2.761905,3.333333,3.2,2.5,3.047619,2.571429,2.952381,2.714286,27,76,29,9,51,54,30,20,30,4,25,29,40,92,31,70,94,55,26,20,56,20,1,47
45,2.8,2,2.5,3.75,2.333333,3.5,4,2.666667,4,2.666667,3.166667,2.8,3.542857,2.642857,2.738095,3.607143,2.428571,3.476191,3.514286,3.285714,3.333333,2.714286,2.780488,2.657143,93,1,15,99,5,81,81,98,68,22,8,23,23,0,31,96,19,80,93,62,96,31,63,47
46,2.8,3.166667,2.333333,1.5,1.833333,3.333333,2.8,1.166667,1.333333,2.166667,1.833333,2.6,2.783333,3.111111,2.75,2.854167,2.638889,2.791667,2.916667,2.319444,3.028169,2.666667,2.722222,2.633333,7,41,16,39,27,3,8,7,27,14,4,22,23,54,17,0,2,68,18,0,0,5,0,35
47,3.2,3,3.166667,2.5,2.5,3.333333,3.8,3.666667,3.666667,2.833333,3.333333,2.8,3.040816,2.813559,2.933333,3.282051,2.45,3.5,3.54,2.95,3.15,2.966667,3.1,2.6,20,9,51,88,7,84,86,77,43,56,53,18,55,32,76,40,28,68,78,97,85,53,76,47
48,2.8,3.333333,2,2.75,2,3,3.2,1.5,3.666667,2.5,2.333333,3.2,3.435897,3.166667,3.191489,3.103448,3.021277,3.361702,3.282051,2.804348,3.326087,3.042553,3.170213,2.75,81,50,84,69,89,61,43,56,68,73,67,36,23,69,4,60,5,39,42,3,85,20,1,74
